雪鹑属	雪鹑
八色鸫属	蓝八色鸫
八色鸫属	绿胸八色鸫
八色鸫属	蓝翅八色鸫
丝冠鸟属	银胸丝冠鸟
阔嘴鸟属	长尾阔嘴鸟
叶鹎属	蓝翅叶鹎
叶鹎属	橙腹叶鹎
松鸡属	黑嘴松鸡
伯劳属	虎纹伯劳
伯劳属	牛头伯劳
伯劳属	红背伯劳
伯劳属	棕尾伯劳
伯劳属	红尾伯劳
伯劳属	栗背伯劳
伯劳属	灰背伯劳
伯劳属	黑额伯劳
伯劳属	灰伯劳
榛鸡属	花尾榛鸡
伯劳属	楔尾伯劳
松鸦属	松鸦
噪鸦属	北噪鸦
噪鸦属	黑头噪鸦
蓝鹊属	台湾蓝鹊
蓝鹊属	黄嘴蓝鹊
蓝鹊属	红嘴蓝鹊
蓝鹊属	白翅蓝鹊
绿鹊属	蓝绿鹊
绿鹊属	印支绿鹊
榛鸡属	斑尾榛鸡
灰喜鹊属	灰喜鹊
树鹊属	棕腹树鹊
树鹊属	灰树鹊
树鹊属	黑额树鹊
盘尾树鹊属	盘尾树鹊
塔尾树鹊属	塔尾树鹊
鹊属	喜鹊
地鸦属	黑尾地鸦
地鸦属	白尾地鸦
拟地鸦属	褐背拟地鸦
树鸭属	栗树鸭
星鸦属	星鸦
山鸦属	红嘴山鸦
山鸦属	黄嘴山鸦
鸦属	寒鸦
鸦属	达乌里寒鸦
鸦属	家鸦
鸦属	秃鼻乌鸦
鸦属	小嘴乌鸦
鸦属	大嘴乌鸦
鸦属	丛林鸦
硬尾鸭属	白头硬尾鸭
鸦属	白颈鸦
鸦属	渡鸦
燕鵙属	灰燕鵙
黄鹂属	金黄鹂
黄鹂属	黑枕黄鹂
黄鹂属	细嘴黄鹂
黄鹂属	黑头黄鹂
黄鹂属	朱鹂
黄鹂属	鹊色鹂
鹃鵙属	大鹃鵙
天鹅属	疣鼻天鹅
